fips,county,county seat,area sq mi,dichotomous character,dichotomous number,integer,numeric,percent label,nominal
19069,Franklin,Hampton,582,Yes,1,5,0.078431373,8%,Squirt
19071,Fremont,Sidney,511,No,1,4,0.346153846,35%,Sprite
19073,Greene,Jefferson,568,No,1,7,0.091954023,9%,Squirt
19075,Grundy,Grundy Center,503,Yes,0,6,0.013513514,1%,Sprite
19077,Guthrie,Guthrie Center,591,Yes,0,1,0.254901961,25%,Mountain Dew
19079,Hamilton,Webster City,577,No,1,7,0.028571429,3%,Squirt
19081,Hancock,Garner,571,Yes,1,2,0.0859375,9%,Squirt
19083,Hardin,Eldora,569,No,1,8,0.38125,38%,Mountain Dew
19085,Harrison,Logan,697,Yes,1,9,0.409836066,41%,Mountain Dew
19087,Henry,Mount Pleasant,434,No,0,3,0.090163934,9%,Squirt
19089,Howard,Cresco,473,No,0,3,0.082644628,8%,Coke
19091,Humboldt,Dakota City,434,Yes,1,2,0.262626263,26%,Squirt
19093,Ida,Ida Grove,432,Yes,1,8,0.231404959,23%,Mountain Dew
19095,Iowa,Marengo,586,No,1,,0.056410256,6%,Squirt
19097,Jackson,Maquoketa,636,No,1,7,0.427419355,43%,Mountain Dew
19099,Jasper,Newton,730,No,1,4,0.101167315,10%,Sprite
19101,Jefferson,Fairfield,435,No,1,7,0.195402299,20%,Coke
19103,Johnson,Iowa City,614,No,0,10,0.095380924,10%,Coke
19105,Jones,Anamosa,575,Yes,1,4,0.081896552,8%,Mountain Dew
19107,Keokuk,Sigourney,579,Yes,0,6,0.192982456,19%,Squirt
19109,Kossuth,Algona,973,No,0,3,0.141414141,14%,Squirt
19111,Lee,Fort Madison and Keokuk,517,Yes,0,7,0.276457883,28%,Squirt
19113,Linn,Cedar Rapids,718,Yes,1,6,0.161148649,16%,Mountain Dew
19115,Louisa,Wapello,402,Yes,1,10,0.288235294,29%,Coke
19117,Lucas,Chariton,431,No,1,1,0.05,5%,Squirt
19119,Lyon,Rock Rapids,588,No,1,7,0.392156863,39%,Squirt
19121,Madison,Winterset,561,No,1,4,0.05988024,6%,Pepsi
19123,Mahaska,Oskaloosa,571,No,1,1,0.301075269,30%,Squirt
19125,Marion,Knoxville,554,Yes,1,5,0.267477204,27%,Coke
19127,Marshall,Marshalltown,572,No,1,7,0.250388802,25%,Coke
19129,Mills,Glenwood,437,Yes,1,10,0.137254902,14%,Coke
19131,Mitchell,Osage,469,Yes,1,5,0.181102362,18%,Pepsi
19133,Monona,Onawa,693,No,1,7,0.225352113,23%,Squirt
19135,Monroe,Albia,433,Yes,0,4,0.360655738,36%,Sprite
19137,Montgomery,Red Oak,424,Yes,1,10,0.238095238,24%,Mountain Dew
19139,Muscatine,Muscatine,439,Yes,1,10,0.313408724,31%,Pepsi
19141,O'Brien,Primghar,573,Yes,0,3,0.50802139,51%,Pepsi
19143,Osceola,Sibley,399,Yes,1,4,0.095890411,10%,Pepsi
19145,Page,Clarinda,535,Yes,0,7,0.069958848,7%,Squirt
19147,Palo Alto,Emmetsburg,564,Yes,1,10,0.119047619,12%,Pepsi
19149,Plymouth,Le Mars,864,No,0,1,0.076655052,8%,Squirt
19151,Pocahontas,Pocahontas,578,Yes,1,10,0.25,25%,Mountain Dew
19153,Polk,Des Moines,570,Yes,0,10,0.192386132,19%,Coke
19155,Pottawattamie,Council Bluffs,954,No,1,6,0.199306759,20%,Coke
19157,Poweshiek,Montezuma,585,Yes,0,1,0.139784946,14%,Mountain Dew
19159,Ringgold,Mount Ayr,538,Yes,1,10,0.088607595,9%,Squirt
19161,Sac,Sac City,576,No,0,10,0.405228758,41%,Mountain Dew
19163,Scott,Davenport,458,Yes,1,2,0.198339033,20%,Mountain Dew
19165,Shelby,Harlan,591,No,0,2,0.083333333,8%,Pepsi
19167,Sioux,Orange City,768,Yes,1,6,0.090702948,9%,Pepsi
19169,Story,Nevada,573,No,1,8,0.216101695,22%,Squirt
19171,Tama,Toledo,721,Yes,1,4,0.32780083,33%,Squirt
19173,Taylor,Bedford,534,Yes,0,8,0.209677419,21%,Squirt
19175,Union,Creston,424,No,0,3,0.10952381,11%,Mountain Dew
19177,Van Buren,Keosauqua,485,Yes,0,6,0.069306931,7%,Sprite
19179,Wapello,Ottumwa,432,Yes,0,10,0.230290456,23%,Coke
19181,Warren,Indianola,572,Yes,0,3,0.080482897,8%,Coke
19183,Washington,Washington,569,Yes,0,,0.291375291,29%,Pepsi
19185,Wayne,Corydon,526,Yes,1,2,0.277108434,28%,Mountain Dew
19187,Webster,Fort Dodge,715,Yes,1,5,0.279591837,28%,Coke
19189,Winnebago,Forest City,400,No,1,4,0.178082192,18%,Coke
19191,Winneshiek,Decorah,690,No,1,8,0.14619883,15%,Squirt
19193,Woodbury,Sioux City,873,No,0,5,0.293456709,29%,Squirt
19195,Worth,Northwood,400,No,0,4,0.515384615,52%,Squirt
19197,Wright,Clarion,581,Yes,1,5,0.214285714,21%,Mountain Dew
